epoch,step,train_accuracy_step
0,49,0.65625
0,99,0.5625
0,149,0.5625
0,199,0.5625
0,249,0.59375
0,299,0.59375
0,349,0.53125
0,399,0.59375
0,449,0.59375
0,499,0.59375
0,549,0.53125
0,599,0.5
0,649,0.59375
0,699,0.4375
0,749,0.6875
0,799,0.59375
0,849,0.625
0,899,0.71875
0,949,0.5
0,999,0.625
0,1049,0.5625
0,1099,0.75
0,1149,0.5625
0,1199,0.6875
0,1249,0.6875
0,1299,0.6875
0,1349,0.78125
0,1399,0.65625
0,1449,0.5625
0,1499,0.625
0,1549,0.5
0,1599,0.59375
0,1649,0.5
0,1699,0.6875
0,1749,0.625
0,1799,0.6875
0,1849,0.53125
0,1899,0.5625
0,1949,0.75
0,1999,0.71875
0,2049,0.71875
0,2099,0.65625
0,2149,0.71875
0,2199,0.59375
0,2249,0.8125
0,2299,0.75
0,2349,0.625
0,2399,0.6875
0,2449,0.6875
0,2499,0.59375
0,2549,0.6875
0,2599,0.625
0,2649,0.75
0,2699,0.6875
0,2749,0.5
0,2799,0.75
0,2849,0.625
0,2899,0.46875
0,2949,0.6875
0,2999,0.75
0,3049,0.625
